review_text,review_rating
"Toko yg menyediakan segala jenis ATK dan kebutuhan anak sekolah yg berada di jalan Ratulangi dan berhadapan dengan Mall Ratu Indah, tempat parkir nya pun luas dan aman. Buat anda yang berada jauh di luar kota sangat baik, karena harga nya yang terjangkau.",5
"Toko peralatan tulis dan kantor terlengkap dan terbesar di Makassar. Harga murah banget, biasanya org daerah belanja grosir disini",5
Super lengkap......lngkap pokox klo blnja di situ semuax terswdia......ng perlu cri2 di t4 lain.....ATK,5
Hampir semua barang ada di jual di sini.mantap,4
"Isi tokonya lengkap untuk mencari alat tulis kantor dan keperluan makanan dan lapangan lainnya.
Pegawainya ribut, selalu teriak-teriak bercanda dengan sesama karyawannya.
Parkiran bikin macet Jl. Ratulangi",3
"Jual alat tulis dan kantor,lengkap,semua ada,harga juga murah",5
"Lengkap, hanya saja panas sekali. Butuh AC.",4
"- Peralatan sekolah atau alat tulis kantor sangat dibutuhkan dalam menunjang aktivitas belajar atau kantor.

Peluang bisnis itu dibaca oleh beberapa pemilik toko ATK terlengkap di Kota Makassar.

Berikut rekomendasi toko alat tulis kantor  di Makassar",3
"Tempat strategis mudah dijangkau dengan kendaraan umum, barang yg dijual cukup lengkap. Akan lebih nyaman jika sekiranya dilengkapi dengan ac",4
tempat belanja terlengkap mulai dr alat tulis smpai peralatan rmh tangga lengkap dgn harga terjangkau.. 👏👍 yg cari mobil Jeep jgn lupa hubungi Yani Jeep Makassar 😁🙏,5
Tempat terlengkap untuk mencari perlengkapan ATK di kota Makassar,5
semoga Allah melimpahkan rahmat kepada karyawan dan pembelinya,5
tempat alat tulis kantor dll yg lengkap banget sihh👍🏻👍🏻👍🏻,5
"Pusat perbelanjaan yg lengkap untuk kebutuhan alat tulis,buku dan keperluan sekolah dan kantor.
Terletak di ldepan Makassar Mall yg strategis dan padat pengunjung setiap hari.",4
Banyak beragam alat tulis kantor dan kebutuhan lainnya seperti peralatan sekolah dll. Banyak pengunjungnya apalagi weekend.,4
"Toko alat tulis yg lengkap. Barang2 yg kualitas seadanya hingga yg bagus ada, tinggal pilih. Hampir selalu ramai. Tempat parkir luas bahkan bisa ikut parkir di cafe sebelahnya.",4
"Toko ATK, aneka plastik, mainan, bingkai semua ada disini",5
"Nyari ATK yang boleh dikatakan #lengkap ya di Toko New Agung

Ga ada yg ngalahin",3
